Episode,TotalReward,TimeEp(s),CumTime(s),Alpha
454,246.24,4.24,4108.02,0.0091
455,221.53,9.06,4117.08,0.0092
456,224.17,11.76,4128.84,0.0093
457,253.61,3.91,4132.75,0.0093
458,242.37,6.43,4139.18,0.0093
459,20.62,3.5,4142.68,0.0093
460,256.56,3.74,4146.42,0.0094
461,230.5,3.87,4150.3,0.0095
462,28.37,4.55,4154.84,0.0097
463,52.73,2.12,4156.96,0.0097
464,214.39,14.51,4171.47,0.0096
465,238.1,5.48,4176.95,0.0096
466,249.69,4.7,4181.65,0.0097
467,218.29,7.31,4188.96,0.0097
468,210.69,10.44,4199.4,0.0099
469,272.71,5.5,4204.9,0.0101
470,11.79,2.42,4207.32,0.0101
471,266.45,3.98,4211.3,0.0102
472,35.41,1.94,4213.24,0.0101
473,268.31,4.83,4218.07,0.0101
474,281.49,6.28,4224.35,0.0103
475,278.03,13.52,4237.87,0.0108
476,260.01,4.79,4242.66,0.0108
477,236.57,3.7,4246.36,0.0109
478,-3.14,2.98,4249.34,0.0108
479,212.84,6.2,4255.54,0.0109
480,271.66,7.23,4262.77,0.0108
481,296.33,6.41,4269.19,0.0109
482,264.56,7.37,4276.56,0.0111
483,34.09,4.09,4280.65,0.0112
484,283.13,3.32,4283.97,0.0112
485,-39.51,4.87,4288.84,0.0112
486,274.91,4.06,4292.9,0.0113
487,22.45,2.04,4294.94,0.0113
488,28.21,2.05,4296.98,0.0114
489,262.06,4.24,4301.22,0.0115
490,48.15,3.84,4305.07,0.0116
491,287.57,3.42,4308.49,0.0118
492,268.68,15.03,4323.52,0.0119
493,268.6,4.07,4327.59,0.0119
494,226.8,8.49,4336.09,0.0121
495,281.39,3.08,4339.16,0.012
496,-1.1,2.71,4341.87,0.0119
497,280.97,7.58,4349.45,0.0121
498,246.35,5.12,4354.57,0.0121
499,242.59,9.41,4363.98,0.0119
500,235.84,4.87,4368.85,0.0119
