Episode,TotalReward,TimePerEp(s),CumulativeTime(s)
285,24.4,26.04,3157.42
286,49.09,26.57,3183.99
287,173.51,19.11,3203.1
288,136.5,23.93,3227.03
289,76.55,25.31,3252.35
290,73.9,25.64,3277.99
291,7.39,26.69,3304.68
292,-1.87,26.68,3331.36
293,53.69,26.84,3358.2
294,-22.99,29.12,3387.32
295,20.58,26.87,3414.19
296,35.54,28.72,3442.91
297,40.37,28.23,3471.14
298,16.91,26.77,3497.91
299,65.72,26.41,3524.32
300,-23.47,26.38,3550.7
301,86.81,25.2,3575.9
302,13.87,26.91,3602.81
303,1.91,27.52,3630.33
304,83.11,25.68,3656.01
305,-100.74,14.26,3670.27
306,86.98,25.35,3695.62
307,70.28,26.95,3722.57
308,44.69,26.39,3748.96
309,247.33,9.31,3758.27
310,51.25,27.04,3785.31
311,34.73,27.42,3812.74
312,43.32,28.04,3840.78
313,258.11,8.47,3849.26
314,58.75,28.19,3877.45
315,74.97,27.84,3905.29
316,220.02,5.23,3910.52
317,43.72,27.91,3938.43
318,-116.44,11.0,3949.44
319,42.67,25.91,3975.35
320,-49.81,24.89,4000.24
321,-8.18,25.1,4025.34
322,-6.0,27.12,4052.46
323,10.72,27.28,4079.75
324,59.47,29.38,4109.13
325,39.37,26.41,4135.54
326,33.51,27.18,4162.71
327,201.57,13.61,4176.32
328,-6.68,30.61,4206.93
329,65.31,27.54,4234.47
330,61.74,27.56,4262.03
331,-31.06,30.28,4292.31
332,35.99,31.63,4323.94
333,30.05,31.57,4355.51
334,172.59,17.93,4373.44
335,42.95,31.42,4404.86
336,37.35,29.74,4434.6
337,-54.6,28.52,4463.13
338,242.88,14.96,4478.09
339,39.72,30.92,4509.01
340,1.19,30.87,4539.88
341,-47.2,30.28,4570.16
342,-25.27,30.15,4600.32
343,-22.38,30.38,4630.69
344,16.78,5.09,4635.79
345,56.51,32.34,4668.13
346,15.71,29.47,4697.6
347,70.29,29.83,4727.42
348,61.78,32.25,4759.67
349,29.04,36.03,4795.7
350,-34.27,34.83,4830.53
351,1.84,31.35,4861.88
352,254.66,10.57,4872.45
353,20.39,32.76,4905.22
354,197.92,17.45,4922.67
355,-9.42,29.89,4952.56
356,37.76,38.61,4991.18
357,-32.77,34.4,5025.57
358,10.04,32.87,5058.44
359,186.09,22.7,5081.15
360,-22.64,29.72,5110.87
361,233.88,14.15,5125.03
362,17.31,33.64,5158.67
363,34.37,30.15,5188.82
364,27.74,31.24,5220.06
365,-25.24,26.69,5246.75
366,11.25,28.84,5275.59
367,159.44,20.83,5296.42
368,-39.83,28.71,5325.13
369,18.05,28.75,5353.88
370,-2.05,28.32,5382.2
371,-146.97,3.99,5386.19
372,166.74,21.23,5407.42
373,61.24,29.98,5437.4
374,45.75,31.17,5468.57
375,4.61,28.61,5497.18
376,188.59,20.54,5517.72
377,-64.97,30.69,5548.41
378,-582.97,10.65,5559.06
379,-38.4,28.64,5587.7
380,-13.3,27.94,5615.64
381,-130.72,7.74,5623.37
382,-124.35,9.12,5632.49
383,169.8,20.29,5652.78
384,88.01,28.78,5681.56
385,37.84,29.3,5710.86
386,35.33,30.11,5740.97
387,-43.18,28.58,5769.55
388,48.65,29.76,5799.31
389,-9.21,28.68,5828.0
390,-13.18,28.97,5856.96
391,-87.98,6.68,5863.65
392,-168.98,6.08,5869.72
393,-23.34,4.99,5874.72
394,239.03,5.8,5880.52
395,21.48,32.16,5912.68
396,186.34,23.68,5936.36
397,216.27,11.84,5948.2
398,79.69,23.79,5972.0
399,72.61,30.46,6002.46
400,59.96,30.01,6032.47
401,38.31,30.27,6062.74
402,67.31,29.9,6092.64
403,53.18,5.62,6098.26
404,271.99,6.62,6104.88
405,26.65,31.94,6136.82
406,56.93,30.93,6167.76
407,60.67,29.62,6197.38
408,63.78,29.08,6226.46
409,82.94,31.12,6257.58
410,-21.3,29.63,6287.21
411,-9.28,28.79,6316.0
412,109.32,30.2,6346.2
413,-64.82,28.95,6375.16
414,91.65,19.45,6394.6
415,-48.42,30.57,6425.17
416,-91.22,28.97,6454.13
417,137.95,29.3,6483.43
418,165.13,16.61,6500.04
419,-15.53,30.51,6530.56
420,30.06,31.69,6562.25
421,55.39,30.96,6593.21
422,27.3,29.21,6622.42
423,34.99,5.58,6628.0
424,28.33,31.23,6659.23
425,-31.28,31.1,6690.34
426,175.37,17.47,6707.81
427,84.24,31.23,6739.04
428,43.91,30.05,6769.09
429,200.34,20.65,6789.74
430,70.19,31.24,6820.98
431,160.27,31.82,6852.8
432,158.57,25.71,6878.51
433,-40.74,30.68,6909.2
434,53.23,31.01,6940.2
435,86.98,31.07,6971.28
436,-17.05,29.95,7001.23
437,203.75,18.87,7020.1
438,-29.68,31.09,7051.19
439,269.39,13.35,7064.54
440,102.94,22.3,7086.84
441,72.22,30.32,7117.16
442,119.91,30.87,7148.03
443,247.63,13.73,7161.76
444,69.53,30.56,7192.32
445,42.74,31.19,7223.51
446,-25.15,29.72,7253.22
447,232.71,16.18,7269.4
448,228.72,16.42,7285.82
449,278.61,8.25,7294.07
450,-47.89,32.37,7326.44
451,260.73,8.76,7335.2
452,221.77,19.57,7354.77
453,105.34,30.49,7385.26
454,224.75,13.14,7398.4
455,117.39,30.26,7428.66
456,-13.11,31.09,7459.75
457,175.66,29.63,7489.38
458,284.38,14.59,7503.97
459,271.02,9.58,7513.55
460,222.26,12.98,7526.53
461,180.94,17.7,7544.23
462,36.43,30.9,7575.13
463,238.54,12.37,7587.5
464,214.66,14.53,7602.02
465,12.82,30.42,7632.44
466,-354.72,7.93,7640.38
467,220.4,13.8,7654.18
468,-311.69,22.12,7676.3
469,24.02,30.39,7706.69
470,209.3,20.49,7727.18
471,264.71,10.62,7737.8
472,-50.7,6.69,7744.49
473,179.93,17.4,7761.89
474,-56.59,5.9,7767.78
475,273.5,10.21,7777.99
476,-17.71,6.15,7784.15
477,-18.13,33.26,7817.4
478,-22.09,31.53,7848.93
479,-14.66,32.02,7880.96
480,204.19,11.46,7892.42
481,-9.62,33.16,7925.59
482,-12.96,5.05,7930.64
483,187.78,20.27,7950.9
484,178.64,16.57,7967.48
485,-23.79,6.2,7973.68
486,-186.67,4.97,7978.65
487,230.69,14.03,7992.68
488,170.86,16.72,8009.41
489,258.36,14.84,8024.25
490,232.91,8.7,8032.95
491,-175.13,8.23,8041.18
492,265.04,7.13,8048.31
493,202.66,9.52,8057.83
494,-152.63,5.04,8062.87
495,271.4,11.33,8074.2
496,222.6,18.59,8092.8
497,298.6,6.94,8099.74
498,288.94,11.74,8111.48
499,273.76,8.55,8120.03
500,263.56,9.52,8129.55
