Episode,TotalReward,TimePerEpisode(s),CumulativeTime(s)
474,262.0388340009845,7.78,9788.68
475,81.67485091758235,34.51,9823.2
476,237.48350513370815,9.24,9832.44
477,258.8468848838032,10.15,9842.6
478,234.13846791346316,17.75,9860.35
479,261.0232666244816,11.85,9872.21
480,263.7137290235145,11.71,9883.92
481,274.5344624107654,8.44,9892.36
482,270.69650057080617,6.87,9899.24
483,248.50589737463332,7.63,9906.87
484,251.48760118408617,8.56,9915.43
485,242.410692150563,9.69,9925.13
486,294.1297926535399,7.66,9932.79
487,255.53881293991637,9.15,9941.94
488,241.0466066449931,12.8,9954.74
489,270.48699980906775,14.87,9969.6
490,258.4764271459954,9.89,9979.5
491,265.7315039641784,9.09,9988.59
492,252.46257158341163,9.08,9997.67
493,275.7529340057224,6.85,10004.52
494,286.98989495717683,13.65,10018.18
495,277.34407875032855,8.02,10026.2
496,234.41755338438884,10.6,10036.81
497,168.71425773968429,33.87,10070.68
498,270.22615356201084,9.16,10079.84
499,262.4155723222391,9.68,10089.52
500,291.5899599935557,9.21,10098.73
